id,player_name,Nationality,age,games,time,goals,xG,assists,xA,total_contribution,shots,key_passes,yellow_cards,red_cards,position,team_title,penalty_goals,penalty_attempts,penalty_missed,conversion_rate
1,Harry Kane,England,29,35,3097,23,22.17485891,14,7.577093588,37,138,49,1,0,F,Tottenham,5,6,1,83.33333333
2,Mohamed Salah,Egypt,30,37,3085,22,20.25084664,5,6.528526101,27,126,55,0,0,"F, M, S",Liverpool,3,5,2,60
3,Bruno Fernandes,Portugal,28,37,3117,18,16.01945446,12,11.47499598,30,121,95,6,0,"M , S",Manchester United,5,5,0,100
4,Son Heung-Min,S. Korea,30,37,3139,17,11.02328676,10,9.51299247,27,68,75,0,0,"F,  M , S",Tottenham,4,4,0,100
5,Patrick Bamford,England,29,38,3085,17,18.40186261,7,3.782246552,24,107,30,3,0,"F,  S",Leeds,7,9,2,77.77777778
6,Dominic Calvert-Lewin,England,25,33,2878,16,18.21051367,0,2.101818834,16,83,18,3,0,"F, S",Everton,8,11,3,72.72727273
7,Jamie Vardy,England,35,34,2848,15,19.94294611,9,5.087881522,24,82,28,1,0,"F, S",Leicester,9,9,0,100
8,Ollie Watkins,England,26,37,3330,14,16.28017765,5,5.314029492,19,98,45,2,1,F,Aston Villa,1,2,1,50
9,Ilkay Gündogan,Germany,32,28,2033,13,9.566883081,2,3.816219656,15,54,42,1,0,"M, S",Manchester City,5,5,0,100
10,Alexandre Lacazette,France,31,31,1939,13,12.02890942,2,2.209213115,15,45,22,3,0,"F, M, S",Arsenal,9,11,2,81.81818182
11,Lionel Messi,Argentina,35,35,3017,30,26.67684328,9,11.42284775,39,195,77,4,0,"F, M, S",Barcelona,11,12,1,91.66666667
12,Gerard Moreno,Spain,30,33,2680,23,19.52812883,7,7.810236443,30,98,43,3,0,"F, M, S",Villarreal,1,1,0,100
13,Karim Benzema,France,34,34,2914,23,19.45452159,9,6.755567729,32,123,38,2,0,"F, S",Real Madrid,5,5,0,100
14,Luis Suárez,Uruguay,35,32,2541,21,17.89246611,3,3.142670294,24,104,27,6,0,"F, S",Atletico Madrid,7,8,1,87.5
15,Youssef En-Nesyri,Morroco,35,38,2308,18,15.79480616,0,2.642064562,18,77,13,2,0,"F, S",Sevilla,9,12,3,75
16,Alexander Isak,Sweden,23,34,2389,16,16.4676875,2,1.841515246,18,81,10,4,0,"F, S",Real Sociedad,10,10,0,100
17,Morales,Spain,35,38,2469,14,7.804594649,3,4.620819338,17,58,34,3,0,"F, M, S",Levante,2,5,3,40
